province, city, city_code, aqi, quality, level, pollutions, so2_24h, no2_24h, co_24h, o3_8h_24h, pm10_24h, pm2_5_24h, pubtime
山西省,临汾市,141000,120.0,轻度污染,3,细颗粒物(PM2.5),39.0,54.0,2.2,38.0,115.0,91.0,2021-01-01 00:00:00
山西省,临汾市,141000,128.0,轻度污染,3,细颗粒物(PM2.5),68.0,57.0,2.0,34.0,129.0,97.0,2021-01-02 00:00:00
山西省,临汾市,141000,143.0,轻度污染,3,细颗粒物(PM2.5),51.0,63.0,2.6,34.0,147.0,109.0,2021-01-03 00:00:00
山西省,临汾市,141000,155.0,中度污染,4,细颗粒物(PM2.5),43.0,61.0,2.5,25.0,155.0,118.0,2021-01-04 00:00:00
山西省,临汾市,141000,38.0,优,1,—,13.0,27.0,0.5,66.0,38.0,22.0,2021-01-05 00:00:00
山西省,临汾市,141000,60.0,良,2,颗粒物(PM10),8.0,17.0,0.5,68.0,69.0,17.0,2021-01-06 00:00:00
山西省,临汾市,141000,32.0,优,1,—,10.0,12.0,0.5,64.0,30.0,11.0,2021-01-07 00:00:00
山西省,临汾市,141000,35.0,优,1,—,15.0,24.0,0.6,68.0,35.0,16.0,2021-01-08 00:00:00
山西省,临汾市,141000,45.0,优,1,—,22.0,30.0,0.8,59.0,45.0,24.0,2021-01-09 00:00:00
山西省,临汾市,141000,52.0,良,2,颗粒物(PM10),30.0,35.0,1.4,52.0,54.0,34.0,2021-01-10 00:00:00
山西省,临汾市,141000,129.0,轻度污染,3,颗粒物(PM10),19.0,36.0,0.9,70.0,208.0,47.0,2021-01-11 00:00:00
山西省,临汾市,141000,166.0,中度污染,4,颗粒物(PM10),39.0,56.0,2.1,27.0,281.0,96.0,2021-01-12 00:00:00
山西省,临汾市,141000,500.0,严重污染,6,颗粒物(PM10),31.0,50.0,1.8,34.0,680.0,183.0,2021-01-13 00:00:00
山西省,临汾市,141000,429.0,严重污染,6,颗粒物(PM10),31.0,41.0,1.7,44.0,529.0,145.0,2021-01-14 00:00:00
山西省,临汾市,141000,99.0,良,2,颗粒物(PM10),11.0,21.0,0.8,69.0,148.0,34.0,2021-01-15 00:00:00
山西省,临汾市,141000,56.0,良,2,颗粒物(PM10),11.0,16.0,0.3,73.0,62.0,20.0,2021-01-16 00:00:00
山西省,临汾市,141000,60.0,良,2,颗粒物(PM10),15.0,31.0,0.7,66.0,70.0,26.0,2021-01-17 00:00:00
山西省,临汾市,141000,95.0,良,2,细颗粒物(PM2.5),47.0,60.0,1.7,35.0,121.0,71.0,2021-01-18 00:00:00
山西省,临汾市,141000,95.0,良,2,细颗粒物(PM2.5),61.0,57.0,1.2,57.0,124.0,71.0,2021-01-19 00:00:00
山西省,临汾市,141000,149.0,轻度污染,3,细颗粒物(PM2.5),28.0,61.0,1.4,59.0,143.0,114.0,2021-01-20 00:00:00
山西省,临汾市,141000,222.0,重度污染,5,细颗粒物(PM2.5),50.0,74.0,2.5,52.0,211.0,172.0,2021-01-21 00:00:00
山西省,临汾市,141000,202.0,重度污染,5,细颗粒物(PM2.5),55.0,72.0,2.2,28.0,191.0,152.0,2021-01-22 00:00:00
山西省,临汾市,141000,159.0,中度污染,4,细颗粒物(PM2.5),72.0,64.0,1.7,96.0,154.0,121.0,2021-01-23 00:00:00
山西省,临汾市,141000,178.0,中度污染,4,细颗粒物(PM2.5),34.0,59.0,1.4,62.0,156.0,134.0,2021-01-24 00:00:00
山西省,临汾市,141000,114.0,轻度污染,3,细颗粒物(PM2.5),8.0,26.0,1.1,67.0,100.0,86.0,2021-01-25 00:00:00
山西省,临汾市,141000,79.0,良,2,细颗粒物(PM2.5),15.0,45.0,1.0,62.0,104.0,58.0,2021-01-26 00:00:00
山西省,临汾市,141000,102.0,轻度污染,3,颗粒物(PM10),21.0,40.0,1.1,75.0,154.0,70.0,2021-01-27 00:00:00
山西省,临汾市,141000,139.0,轻度污染,3,颗粒物(PM10),7.0,21.0,0.5,71.0,227.0,51.0,2021-01-28 00:00:00
山西省,临汾市,141000,103.0,轻度污染,3,"颗粒物(PM10),细颗粒物(PM2.5)",31.0,53.0,1.7,47.0,156.0,77.0,2021-01-29 00:00:00
山西省,临汾市,141000,120.0,轻度污染,3,细颗粒物(PM2.5),27.0,54.0,2.1,61.0,144.0,91.0,2021-01-30 00:00:00
山西省,临汾市,141000,113.0,轻度污染,3,细颗粒物(PM2.5),33.0,55.0,1.8,48.0,122.0,85.0,2021-01-31 00:00:00
山西省,临汾市,141000,107.0,轻度污染,3,细颗粒物(PM2.5),25.0,41.0,1.4,75.0,133.0,80.0,2021-02-01 00:00:00
山西省,临汾市,141000,58.0,良,2,颗粒物(PM10),22.0,31.0,0.7,71.0,66.0,33.0,2021-02-02 00:00:00
山西省,临汾市,141000,68.0,良,2,细颗粒物(PM2.5),26.0,38.0,1.0,74.0,82.0,49.0,2021-02-03 00:00:00
山西省,临汾市,141000,80.0,良,2,细颗粒物(PM2.5),27.0,49.0,1.0,55.0,82.0,59.0,2021-02-04 00:00:00
山西省,临汾市,141000,120.0,轻度污染,3,细颗粒物(PM2.5),33.0,52.0,1.6,83.0,132.0,91.0,2021-02-05 00:00:00
山西省,临汾市,141000,129.0,轻度污染,3,细颗粒物(PM2.5),38.0,63.0,2.1,52.0,148.0,98.0,2021-02-06 00:00:00
山西省,临汾市,141000,95.0,良,2,细颗粒物(PM2.5),36.0,49.0,1.3,60.0,101.0,71.0,2021-02-07 00:00:00
山西省,临汾市,141000,97.0,良,2,细颗粒物(PM2.5),27.0,38.0,1.2,93.0,102.0,72.0,2021-02-08 00:00:00
山西省,临汾市,141000,163.0,中度污染,4,细颗粒物(PM2.5),20.0,43.0,1.6,109.0,150.0,124.0,2021-02-09 00:00:00
山西省,临汾市,141000,147.0,轻度污染,3,细颗粒物(PM2.5),38.0,41.0,1.5,113.0,127.0,112.0,2021-02-10 00:00:00
山西省,临汾市,141000,158.0,中度污染,4,细颗粒物(PM2.5),35.0,34.0,1.6,115.0,132.0,120.0,2021-02-11 00:00:00
山西省,临汾市,141000,180.0,中度污染,4,细颗粒物(PM2.5),22.0,28.0,1.6,124.0,143.0,136.0,2021-02-12 00:00:00
山西省,临汾市,141000,148.0,轻度污染,3,细颗粒物(PM2.5),23.0,31.0,2.1,46.0,121.0,113.0,2021-02-13 00:00:00
