 aqi	 level	 so2	 no2	 co	 o3	 pm10	 pm2_5
42	1	4	33	0.5	42	33	15
37	1	3	23	0.4	63	37	14
31	1	3	21	0.4	54	31	13
30	1	3	9	0.3	59	27	8
32	1	3	12	0.3	63	29	8
38	1	3	15	0.3	61	38	10
33	1	3	15	0.3	65	24	9
34	1	3	11	0.3	67	31	9
46	1	3	24	0.6	44	46	26
49	1	2	8	0.3	71	49	6
50	1	2	11	0.4	67	50	17
37	1	3	19	0.4	58	37	14
49	1	3	23	0.5	72	49	17
45	1	3	29	0.6	67	44	31
37	1	2	8	0.3	73	30	9
39	1	2	4	0.2	77	30	5
36	1	2	8	0.3	71	16	9
38	1	4	26	0.5	62	35	26
49	1	3	20	0.5	57	49	28
34	1	2	14	0.4	67	17	22
41	1	2	12	0.2	81	33	7
45	1	3	14	0.2	89	27	6
44	1	2	14	0.2	88	35	10
47	1	2	27	0.6	93	41	32
41	1	2	23	0.3	82	30	13
41	1	2	16	0.3	81	29	9
38	1	3	15	0.4	75	31	11
47	1	2	18	0.3	93	23	4
43	1	2	23	0.3	86	40	11
49	1	3	11	0.2	98	19	4
41	1	2	23	0.8	82	41	25
42	1	2	16	0.2	83	22	3
46	1	2	19	0.3	92	29	6
50	1	3	19	0.2	99	25	7
49	1	3	13	0.9	98	32	22
36	1	2	18	0.6	71	33	19
50	1	3	16	0.4	99	18	7
45	1	3	19	0.2	89	26	5
50	1	3	23	0.2	99	34	8
29	1	2	8	0.4	58	5	4
32	1	3	10	0.6	64	22	12
36	1	3	12	0.6	71	26	16
41	1	2	16	0.6	82	31	16
29	1	2	18	0.7	57	25	14
46	1	3	12	0.5	91	15	10
33	1	2	16	0.6	66	20	12
29	1	2	13	0.5	58	16	10
38	1	2	11	0.4	76	14	7
41	1	3	9	0.4	82	17	5
47	1	3	14	0.6	93	35	20
41	1	2	14	0.6	82	21	14
48	1	3	12	0.4	95	18	9
39	1	3	15	0.4	78	16	5
40	1	3	13	0.4	80	15	5
49	1	3	16	0.4	98	22	8
38	1	3	19	0.4	76	24	9
48	1	2	16	0.8	96	31	20
44	1	3	14	0.5	87	23	14
33	1	3	12	0.4	65	9	5
48	1	3	19	0.8	96	32	17
37	1	3	20	0.8	67	37	20
45	1	2	27	0.7	85	45	19
31	1	2	24	0.7	45	31	15
46	1	3	20	0.4	91	23	9
46	1	3	28	0.5	78	46	19
31	1	3	19	0.6	62	28	20
37	1	3	12	0.5	74	6	4
43	1	2	15	0.4	85	14	4
31	1	2	18	0.9	61	19	15
42	1	3	17	0.6	83	24	13
63	2	6	50	0.7	23	64	29
64	2	5	42	1.1	30	72	46
63	2	3	6	0.3	59	75	10
57	2	4	21	0.4	63	64	20
100	2	5	48	0.8	30	149	45
80	2	5	35	1	37	110	53
96	2	3	16	0.5	70	142	40
53	2	3	23	0.4	52	56	17
61	2	4	26	0.4	56	71	19
73	2	4	37	0.8	40	66	53
55	2	5	32	0.7	55	59	26
53	2	4	35	0.6	42	55	21
68	2	5	47	0.9	32	86	41
89	2	4	34	1.1	40	83	66
57	2	5	35	0.6	56	63	35
62	2	4	45	0.8	64	74	41
84	2	4	25	0.5	80	117	35
51	2	4	13	0.4	73	51	22
87	2	6	40	0.9	73	73	64
100	2	6	38	1	92	83	75
60	2	4	42	0.8	65	66	43
72	2	5	49	0.8	60	93	46
59	2	3	14	0.4	82	67	28
62	2	3	27	0.7	54	52	44
83	2	2	23	0.7	39	54	61
51	2	4	27	0.6	53	52	22
78	2	2	39	0.7	54	73	57
85	2	3	28	0.7	69	120	57
97	2	3	34	0.8	54	88	72
69	2	2	16	0.4	78	88	29
86	2	4	43	0.5	82	121	38
85	2	5	42	0.5	120	119	59
88	2	3	24	0.3	84	126	22
60	2	4	30	0.4	106	70	30
63	2	3	32	0.4	115	62	32
65	2	5	35	0.5	110	80	38
64	2	4	36	0.4	116	74	35
64	2	7	33	0.7	103	77	40
90	2	7	40	0.9	121	102	67
79	2	4	34	0.5	117	94	58
63	2	3	30	0.6	74	72	45
68	2	3	28	0.3	96	85	24
66	2	3	32	0.4	109	81	27
92	2	4	40	0.5	149	133	55
100	2	3	37	0.6	160	122	51
65	2	3	35	0.5	117	76	39
55	2	3	21	0.5	106	37	24
56	2	2	21	0.4	107	42	20
64	2	2	26	0.6	116	59	39
84	2	4	31	0.5	140	68	40
80	2	3	19	0.3	92	109	27
58	2	3	18	0.2	98	66	14
58	2	3	21	0.3	98	66	16
55	2	2	18	0.3	106	45	13
86	2	4	24	0.5	143	79	35
58	2	3	10	0.2	97	65	13
75	2	3	19	0.3	121	99	27
83	2	3	17	0.2	93	115	39
73	2	3	30	0.4	127	55	20
76	2	3	27	0.5	131	56	21
95	2	3	24	0.6	154	48	23
78	2	2	28	0.4	133	49	15
63	2	4	31	0.9	115	70	42
63	2	2	28	1.1	109	75	40
66	2	2	31	0.3	119	44	12
83	2	2	34	0.4	139	62	20
54	2	2	15	0.2	81	57	14
82	2	3	18	0.3	138	85	19
54	2	3	22	0.4	103	57	15
75	2	2	14	0.3	130	32	8
70	2	3	20	0.5	123	35	15
52	2	2	25	0.6	102	48	21
97	2	3	22	0.4	156	43	12
96	2	3	18	0.6	155	46	21
53	2	2	20	0.7	103	52	27
88	2	2	16	0.4	145	24	9
62	2	3	23	0.2	114	36	11
65	2	2	20	0.4	117	33	18
86	2	3	25	0.5	143	46	24
80	2	3	17	0.8	135	49	30
87	2	3	14	0.7	144	40	22
61	2	3	12	0.6	113	40	26
91	2	3	10	0.5	149	27	14
82	2	3	12	0.4	138	27	12
100	2	2	11	0.4	160	25	11
81	2	3	10	0.4	137	16	7
80	2	3	19	0.5	136	28	11
95	2	3	11	0.5	153	22	13
86	2	2	17	0.5	143	32	12
99	2	3	14	0.8	158	48	25
55	2	3	13	0.6	105	17	9
94	2	3	13	0.7	152	35	20
85	2	3	13	0.9	142	42	27
66	2	2	11	0.7	119	32	17
63	2	3	13	0.6	115	28	17
58	2	2	14	0.6	109	35	19
66	2	3	16	0.5	119	31	15
86	2	3	18	0.5	143	53	27
80	2	2	17	0.6	136	59	30
68	2	2	16	0.7	121	59	30
54	2	2	12	0.4	104	19	5
93	2	3	13	0.7	151	41	16
99	2	3	14	0.8	158	48	30
89	2	3	13	0.6	146	37	23
84	2	2	16	0.6	140	42	24
95	2	3	10	0.5	154	21	14
93	2	2	16	0.6	151	30	14
83	2	2	18	0.8	139	54	30
89	2	3	14	0.9	146	48	26
87	2	2	15	0.7	144	42	22
64	2	2	12	0.7	116	35	22
60	2	3	14	0.8	112	33	22
57	2	2	11	0.5	108	17	9
61	2	3	18	0.5	113	33	15
61	2	2	12	0.6	113	17	8
64	2	2	16	0.5	116	26	11
84	2	2	18	1.5	140	68	34
85	2	2	11	0.7	141	47	25
85	2	3	17	0.5	141	39	17
85	2	3	22	0.6	142	51	26
82	2	3	19	0.6	138	36	23
91	2	2	23	0.5	149	36	16
94	2	2	21	0.5	152	43	21
70	2	2	17	0.5	123	27	11
89	2	2	18	0.6	146	37	20
62	2	2	23	0.7	114	50	33
51	2	2	21	0.9	68	52	28
54	2	3	21	0.4	104	27	9
77	2	3	28	0.7	132	47	21
144	3	3	30	0.5	70	237	58
104	3	5	52	1.2	34	95	78
113	3	8	54	1.4	38	109	85
115	3	4	51	1.3	41	93	87
139	3	4	53	1.3	39	105	106
105	3	3	40	1	61	77	79
132	3	2	20	1.4	52	86	100
118	3	4	32	0.6	75	186	54
107	3	4	35	1	79	77	80
125	3	3	37	0.9	59	70	95
149	3	2	39	1.1	34	101	114
144	3	2	35	1.1	48	101	110
118	3	4	49	0.8	60	84	89
137	3	2	37	0.9	49	69	104
135	3	2	30	1	89	61	103
114	3	3	21	0.3	73	177	37
131	3	3	27	0.3	76	212	28
106	3	3	30	0.4	90	161	40
140	3	4	35	0.5	106	230	55
113	3	3	40	0.5	94	176	53
111	3	8	43	0.9	115	172	72
108	3	2	9	0.2	81	165	35
126	3	2	9	0.3	99	202	68
138	3	4	26	0.5	201	77	31
104	3	2	21	0.5	164	73	37
130	3	2	21	0.6	192	69	36
144	3	3	22	0.6	208	85	32
121	3	2	10	0.2	80	192	52
102	3	2	19	0.4	162	40	17
142	3	2	17	0.7	206	56	28
101	3	2	31	0.4	161	46	15
149	3	3	21	1	213	91	43
117	3	3	13	0.7	178	36	22
122	3	4	24	0.5	184	65	18
116	3	3	17	0.5	177	43	15
120	3	3	15	0.7	181	48	26
123	3	3	16	0.8	185	53	32
110	3	3	16	0.6	171	40	21
125	3	2	16	0.6	187	39	17
117	3	2	20	0.9	178	67	31
113	3	2	15	0.6	174	37	15
125	3	2	18	0.7	187	70	41
106	3	3	19	0.8	166	75	40
107	3	3	20	0.7	167	54	29
106	3	2	20	0.8	166	55	32
106	3	3	23	0.9	166	72	42
176	4	3	59	1.5	17	105	133
173	4	4	39	1.3	104	109	131
159	4	6	40	1.1	105	99	121
192	4	4	51	1	90	112	144
160	4	3	38	0.9	95	81	122
172	4	2	47	1	39	96	130
181	4	3	48	0.6	38	312	63
180	4	4	73	1	42	157	136
178	4	2	39	1	99	112	134
181	4	4	23	0.4	99	311	70
191	4	4	30	0.6	256	81	32
215	5	9	42	1.7	93	154	165
249	5	9	31	1.6	111	204	199
257	5	5	39	2.3	41	193	207
201	5	2	50	1.4	38	130	151
241	5	4	57	1.3	86	136	191
226	5	4	17	0.8	100	368	91
500	6	2	18	0.4	77	1630	207
500	6	3	17	0.4	91	795	128
