aqi,pre_aqi,so2,no2,co,o3,pm10,pm2_5,temp,humi,w_dir,wind,rain
58,54,12,20,0.9,12,57,41,15,78,315,2,0
60,58,13,20,1,10,57,43,14,82,315,2,0
62,60,15,21,1.1,8,63,44,14,83,315,2,0
65,62,18,22,1.2,8,70,47,13,86,45,2,0
69,65,24,25,1.3,11,78,50,10,88,45,2,0
73,69,29,29,1.2,16,85,53,9,88,45,2,0
73,73,30,30,1.1,25,87,53,9,87,45,2,0
66,73,25,24,0.7,47,81,47,8,88,45,1,0
54,66,15,13,0.5,69,58,38,8,88,90,1,0
45,54,12,13,0.5,79,45,30,8,88,90,1,0
47,45,13,16,0.6,76,47,27,8,88,45,1,0
52,47,15,20,0.9,51,54,32,8,87,45,2,0
65,52,19,24,1.1,28,78,47,9,83,90,1,0
92,65,17,25,1,18,95,68,11,78,45,1,0
93,92,17,25,1,15,90,69,14,70,0,1,0
87,93,18,26,1,14,81,64,17,62,45,1,0
78,87,18,26,1,13,73,57,19,57,125,2,0
70,78,18,25,1,10,72,51,20,54,90,2,0
70,70,18,23,1,9,73,51,15,62,90,2,0
73,70,14,22,1,7,79,53,12,74,45,3,0
67,73,12,20,1,7,74,48,10,81,45,2,0
58,67,10,18,1,6,58,41,9,86,45,2,0
52,58,8,18,1,6,51,36,8,87,0,2,0
45,52,8,16,1,6,43,31,8,89,45,2,0
42,45,8,15,1,7,39,29,8,90,90,2,0
40,42,10,15,0.9,8,39,28,8,91,45,2,0
39,40,13,17,0.9,7,36,27,7,91,45,2,0
34,39,19,18,1,8,34,21,7,95,45,2,0
38,34,20,17,1,10,38,23,7,95,45,2,0
41,38,19,17,1,11,41,26,7,95,45,2,0
46,41,21,17,1,12,46,27,7,95,45,2,0
50,46,21,17,1,14,50,30,7,95,45,2,0
51,50,20,17,1,16,51,33,7,94,45,2,0
51,51,19,19,1,16,52,34,7,94,45,1,0
51,51,18,21,1,15,51,35,7,92,45,1,0
53,51,15,24,1,13,56,34,7,89,45,1,0
52,53,14,23,1,16,54,33,8,87,45,2,0
48,52,12,21,0.9,17,48,30,8,85,45,1,0
46,48,12,22,1,14,44,32,8,85,45,2,0
45,46,12,23,1,12,43,31,8,83,90,2,0
47,45,12,22,1,12,47,31,8,84,90,2,0
43,47,10,19,1,14,42,30,8,85,45,2,0
35,43,9,18,1,14,32,24,8,86,45,2,0
25,35,8,17,1,13,23,17,8,87,45,2,0
22,25,7,14,0.9,16,19,15,8,89,45,2,0
18,22,7,14,0.9,18,17,12,8,90,45,2,0
16,18,7,12,0.9,19,16,10,8,89,45,2,0
15,16,7,13,0.9,18,15,9,8,91,0,2,0
18,15,7,15,0.9,16,17,12,7,94,90,2,0
15,18,7,16,0.9,12,15,10,7,95,45,1,0
16,15,7,16,1,11,16,10,7,96,45,1,0.2
16,16,8,16,1,9,16,11,7,97,45,1,0.1
23,16,10,17,1.1,8,23,16,7,97,45,2,0.2
35,23,13,18,1.1,9,35,22,7,97,45,2,0.1
41,35,14,21,1.2,7,41,26,7,97,45,1,0.1
54,41,17,24,1.4,7,58,37,7,97,45,2,0.1
67,54,17,26,1.4,6,74,48,6,97,45,2,0
68,67,19,29,1.5,6,68,49,6,98,45,2,0.1
77,68,21,29,1.4,6,83,56,6,97,45,2,0
78,77,23,31,1.4,5,84,57,6,97,45,1,0
78,78,34,32,1.6,5,88,57,7,96,90,1,0
88,78,35,30,1.7,7,104,65,7,95,45,1,0
84,88,27,30,1.4,9,100,62,7,95,90,1,0
69,84,16,31,1,13,78,50,7,97,90,1,0
43,69,12,28,0.8,17,40,30,8,97,0,1,0
32,43,10,27,0.7,16,26,22,8,97,90,2,0
20,32,10,24,0.7,20,19,14,8,96,45,1,0
22,20,10,22,0.6,24,21,15,8,95,45,1,0
19,22,10,13,0.5,35,18,13,9,95,90,1,0
15,19,9,10,0.5,38,13,10,9,94,180,1,0
14,15,9,11,0.5,39,14,9,10,97,125,2,2.6
15,14,9,11,0.5,42,15,10,11,98,270,1,1.3
23,15,13,15,0.4,49,23,13,18,65,180,3,0
26,23,12,14,0.4,50,26,12,18,69,180,3,0
26,26,10,12,0.4,50,26,13,17,73,315,2,0
27,26,8,8,0.4,52,27,15,17,74,315,2,0
22,27,8,10,0.4,50,22,15,15,82,180,2,0.2
22,22,8,10,0.4,49,18,15,15,80,315,2,0
22,22,8,8,0.4,52,19,15,15,79,315,2,0
