 aqi	 level	 so2_24h	 no2_24h	 co_24h	 o3_8h_24h	 pm10_24h	 pm2_5_24h
39	1	6	31	0.7	23	34	20
37	1	5	29	0.6	25	22	16
39	1	6	31	0.8	7	27	19
37	1	6	29	0.9	12	28	19
43	1	6	34	0.7	26	33	21
49	1	8	39	0.8	25	48	30
50	1	6	40	0.8	22	50	32
45	1	6	36	0.8	22	37	26
49	1	8	39	0.8	23	40	27
42	1	6	33	0.7	29	30	22
49	1	6	39	0.6	23	46	30
60	2	9	48	0.9	30	63	35
53	2	9	39	0.8	18	55	35
59	2	9	41	0.8	10	65	42
54	2	9	43	0.9	13	51	30
54	2	7	39	0.8	13	57	36
55	2	8	44	0.9	34	48	32
55	2	8	42	0.8	22	60	37
72	2	9	43	1	7	79	52
57	2	8	37	0.9	23	56	40
52	2	8	41	0.9	20	46	26
68	2	9	42	1	8	80	49
77	2	9	41	1.1	7	86	56
77	2	10	40	1	7	84	56
65	2	8	38	1	10	64	47
55	2	8	44	0.6	22	57	35
55	2	8	44	0.5	32	51	29
70	2	11	43	0.7	11	86	51
82	2	10	47	0.8	11	91	60
89	2	9	54	0.8	26	100	66
93	2	9	58	0.9	44	106	69
100	2	10	66	1.1	16	113	75
75	2	8	40	0.8	29	70	55
60	2	8	43	0.7	12	61	43
65	2	8	40	0.8	10	63	47
117	3	12	56	0.9	28	122	88
133	3	12	60	1.3	7	149	101
143	3	10	58	1.4	30	154	109
137	3	10	57	1.1	19	141	104
