 aqi	 level	 so2_24h	 no2_24h	 co_24h	 o3_8h_24h	 pm10_24h	 pm2_5_24h
45	1	8	30	0.6	46	44	31
32	1	7	19	0.5	53	31	22
39	1	8	28	0.7	58	38	27
42	1	8	33	0.7	56	40	28
47	1	8	37	0.7	75	44	29
28	1	6	22	0.6	36	21	16
33	1	8	26	0.6	36	27	18
32	1	7	25	0.6	36	28	17
33	1	7	26	0.6	50	32	20
45	1	8	36	0.8	25	43	27
43	1	8	34	0.8	41	42	28
39	1	8	31	0.7	42	32	22
48	1	9	38	0.7	32	41	26
48	1	8	38	0.7	22	39	24
47	1	9	37	0.8	63	46	27
34	1	8	27	0.8	53	30	17
40	1	9	32	0.9	40	38	21
33	1	7	26	0.8	28	32	20
42	1	7	24	0.5	44	42	21
39	1	9	29	0.7	55	39	24
32	1	7	25	0.7	42	30	20
35	1	9	28	0.7	50	30	17
47	1	10	37	0.8	32	39	24
43	1	8	34	0.8	44	34	23
43	1	8	32	0.8	66	43	28
37	1	11	29	0.6	60	30	16
40	1	9	32	0.6	53	37	23
40	1	9	32	0.6	53	40	26
49	1	9	37	0.7	60	49	32
46	1	8	31	0.7	45	46	31
45	1	8	31	0.7	42	45	29
41	1	8	32	0.7	42	41	25
48	1	8	32	0.6	44	48	25
42	1	7	32	0.7	41	42	26
49	1	9	33	0.8	92	49	28
28	1	7	22	0.7	46	28	18
28	1	7	22	0.6	48	21	13
39	1	7	26	0.6	78	24	15
50	1	8	20	0.6	99	29	21
42	1	8	30	0.6	43	42	26
48	1	9	33	0.7	95	48	30
48	1	10	32	0.6	96	45	29
44	1	8	27	0.6	58	44	30
39	1	9	31	0.7	53	39	27
47	1	8	23	0.7	93	32	21
30	1	7	19	0.5	60	29	19
48	1	8	22	0.5	96	25	14
44	1	10	35	0.6	75	40	21
48	1	8	32	0.6	95	44	28
33	1	7	24	0.6	45	33	20
38	1	7	30	0.5	45	32	19
43	1	9	34	0.7	27	43	27
34	1	7	27	0.6	52	31	21
50	1	8	40	0.7	59	42	26
50	1	10	40	0.7	90	47	27
38	1	7	27	0.6	76	38	23
40	1	7	27	0.5	60	39	28
47	1	9	28	0.6	93	41	26
49	1	9	20	0.5	98	30	17
30	1	8	19	0.5	47	30	16
23	1	7	18	0.5	43	23	14
34	1	9	25	0.6	68	31	18
43	1	9	28	0.6	86	37	22
44	1	10	33	0.7	86	44	26
47	1	8	25	0.7	75	47	32
46	1	8	24	0.7	92	37	24
33	1	7	26	0.7	56	29	20
39	1	7	31	0.8	75	38	25
32	1	7	23	0.7	64	26	16
33	1	8	22	0.6	66	27	17
34	1	7	21	0.7	68	24	16
42	1	8	24	0.7	83	26	15
47	1	10	28	0.7	93	40	25
28	1	7	22	0.6	52	24	15
31	1	8	23	0.6	50	31	18
45	1	8	20	0.6	90	27	15
31	1	7	21	0.6	61	28	17
32	1	7	22	0.5	63	22	13
50	1	8	23	0.5	100	32	17
46	1	8	27	0.7	75	46	30
38	1	7	23	0.7	45	38	26
39	1	7	19	0.6	77	22	13
47	1	8	22	0.6	93	26	16
30	1	7	19	0.6	59	26	16
27	1	7	16	0.6	54	17	11
34	1	6	17	0.6	68	18	9
46	1	8	22	0.7	91	24	12
46	1	8	19	0.6	91	21	11
42	1	9	21	0.6	84	23	12
39	1	8	22	0.6	77	25	14
41	1	8	22	0.6	65	41	23
36	1	7	19	0.5	71	24	14
36	1	7	21	0.6	72	31	17
29	1	6	17	0.5	58	15	10
29	1	6	23	0.6	57	16	10
28	1	7	22	0.6	40	16	9
30	1	7	24	0.6	45	19	11
49	1	8	23	0.7	98	26	14
48	1	8	22	0.7	96	35	19
45	1	8	24	0.6	89	37	21
38	1	9	25	0.6	69	38	21
30	1	8	18	0.6	59	21	12
43	1	9	34	0.7	81	34	17
39	1	8	24	0.7	78	25	15
33	1	9	24	0.7	48	33	21
33	1	8	21	0.6	65	24	14
29	1	8	23	0.7	48	26	15
42	1	7	20	0.6	84	18	11
47	1	9	22	0.5	94	35	20
47	1	9	22	0.5	93	30	15
41	1	8	19	0.6	82	35	21
33	1	8	22	0.6	63	33	21
39	1	6	31	0.7	23	34	20
37	1	5	29	0.6	25	22	16
39	1	6	31	0.8	7	27	19
37	1	6	29	0.9	12	28	19
43	1	6	34	0.7	26	33	21
49	1	8	39	0.8	25	48	30
50	1	6	40	0.8	22	50	32
45	1	6	36	0.8	22	37	26
49	1	8	39	0.8	23	40	27
42	1	6	33	0.7	29	30	22
49	1	6	39	0.6	23	46	30
35	1	10	22	0.7	40	33	24
48	1	10	20	0.7	66	42	33
36	1	10	15	0.7	72	27	20
35	1	16	17	0.7	54	35	24
49	1	20	17	0.6	60	49	30
34	1	12	17	0.6	68	34	23
43	1	15	23	0.9	52	43	29
46	1	12	25	0.9	35	46	28
30	1	11	24	1	48	30	21
44	1	14	19	0.8	87	44	28
35	1	12	27	0.8	32	32	24
45	1	15	23	0.9	46	43	31
45	1	10	19	0.8	44	43	31
37	1	14	24	0.8	33	37	24
49	1	18	24	0.9	42	49	31
49	1	13	17	0.9	60	46	34
25	1	11	14	0.6	49	14	10
26	1	13	15	0.7	52	22	15
37	1	16	13	0.6	73	33	24
49	1	12	13	0.6	62	45	34
32	1	10	9	0.5	61	31	22
40	1	13	11	0.5	79	31	20
38	1	17	15	0.5	75	32	18
47	1	8	14	0.6	86	47	31
23	1	8	11	0.5	46	19	12
32	1	10	16	0.6	61	32	18
31	1	13	19	0.8	40	31	19
24	1	10	14	0.6	48	20	9
44	1	13	17	0.7	65	44	26
80	2	10	42	0.9	27	80	59
82	2	11	39	0.9	16	81	60
95	2	11	40	0.9	13	95	71
90	2	10	38	0.8	24	91	67
74	2	8	30	0.7	47	68	54
63	2	8	37	0.7	35	63	45
90	2	10	42	0.8	19	89	67
77	2	9	39	0.7	52	79	56
69	2	11	47	0.7	59	85	50
80	2	13	60	0.8	56	106	59
53	2	9	42	0.7	36	56	37
85	2	9	52	0.9	33	95	63
98	2	9	43	0.9	23	96	73
54	2	8	39	1	40	50	38
64	2	8	43	1.1	15	67	46
64	2	8	41	1	18	62	46
60	2	9	44	1.1	43	63	43
67	2	9	49	0.9	28	76	48
93	2	11	48	0.9	44	105	69
88	2	8	38	0.9	54	88	65
95	2	9	43	1	67	92	71
99	2	9	44	1	42	96	74
70	2	9	37	0.9	58	68	51
