地区名称,预报时间,温度,相对湿度,风向,风力级数,降水量,更新时间
贵州>贵阳>白云,2021/1/1 0:00,-1,66,北风,1,0,20210101 000000
贵州>贵阳>清镇,2021/1/1 0:00,-1,66,北风,1,0,20210101 000000
贵州>贵阳>花溪,2021/1/1 0:00,0,55,东北风,2,0,20210101 000000
贵州>贵阳>息烽,2021/1/1 0:00,-1,62,西北风,1,0,20210101 000000
贵州>贵阳>开阳,2021/1/1 0:00,-3,62,北风,1,0,20210101 000000
贵州>贵阳>修文,2021/1/1 0:00,-2,64,东风,2,0,20210101 000000
贵州>贵阳>乌当,2021/1/1 0:00,0,54,东风,2,0,20210101 000000
贵州>贵阳>乌当,2021/1/1 1:00,0,56,东北风,2,0,20210101 010000
贵州>贵阳>清镇,2021/1/1 1:00,-1,67,北风,1,0,20210101 010000
贵州>贵阳>息烽,2021/1/1 1:00,-1,63,西北风,1,0,20210101 010000
贵州>贵阳>开阳,2021/1/1 1:00,-3,63,北风,1,0,20210101 010000
贵州>贵阳>修文,2021/1/1 1:00,-2,71,北风,1,0,20210101 010000
贵州>贵阳>白云,2021/1/1 1:00,-1,67,北风,1,0,20210101 010000
贵州>贵阳>花溪,2021/1/1 1:00,0,59,北风,2,0,20210101 010000
贵州>贵阳>息烽,2021/1/1 2:00,-1,64,北风,1,0,20210101 020000
贵州>贵阳>乌当,2021/1/1 2:00,0,61,东北风,2,0,20210101 020000
贵州>贵阳>清镇,2021/1/1 2:00,-2,70,北风,2,0,20210101 020000
贵州>贵阳>开阳,2021/1/1 2:00,-3,71,北风,2,0,20210101 020000
贵州>贵阳>花溪,2021/1/1 2:00,0,59,北风,2,0,20210101 020000
贵州>贵阳>修文,2021/1/1 2:00,-2,81,东风,2,0,20210101 020000
贵州>贵阳>白云,2021/1/1 2:00,-2,70,北风,2,0,20210101 020000
贵州>贵阳>息烽,2021/1/1 3:00,-1,67,西南风,1,0,20210101 030000
贵州>贵阳>清镇,2021/1/1 3:00,-2,80,北风,1,0,20210101 030000
贵州>贵阳>修文,2021/1/1 3:00,-2,84,北风,1,0,20210101 030000
贵州>贵阳>白云,2021/1/1 3:00,-2,80,北风,1,0,20210101 030000
贵州>贵阳>乌当,2021/1/1 3:00,0,64,东北风,2,0,20210101 030000
贵州>贵阳>开阳,2021/1/1 3:00,-3,70,西风,1,0,20210101 030000
贵州>贵阳>花溪,2021/1/1 3:00,0,61,北风,2,0,20210101 030000
贵州>贵阳>修文,2021/1/1 4:00,-3,83,北风,1,0,20210101 040000
贵州>贵阳>息烽,2021/1/1 4:00,-1,65,北风,1,0,20210101 040000
贵州>贵阳>清镇,2021/1/1 4:00,-2,84,东北风,2,0,20210101 040000
贵州>贵阳>花溪,2021/1/1 4:00,0,63,东北风,1,0,20210101 040000
贵州>贵阳>开阳,2021/1/1 4:00,-3,68,西北风,1,0,20210101 040000
贵州>贵阳>乌当,2021/1/1 4:00,-1,70,东风,1,0,20210101 040000
贵州>贵阳>白云,2021/1/1 4:00,-2,84,东北风,2,0,20210101 040000
贵州>贵阳>息烽,2021/1/1 5:00,-1,65,西风,1,0,20210101 050000
贵州>贵阳>开阳,2021/1/1 5:00,-3,68,西北风,1,0,20210101 050000
贵州>贵阳>花溪,2021/1/1 5:00,-1,70,东北风,2,0,20210101 050000
贵州>贵阳>清镇,2021/1/1 5:00,-2,87,东北风,1,0,20210101 050000
贵州>贵阳>白云,2021/1/1 5:00,-2,87,东北风,1,0,20210101 050000
贵州>贵阳>乌当,2021/1/1 5:00,-1,72,东北风,1,0,20210101 050000
贵州>贵阳>修文,2021/1/1 5:00,-3,83,东风,1,0,20210101 050000
贵州>贵阳>修文,2021/1/1 6:00,-2,79,西北风,1,0,20210101 060000
贵州>贵阳>乌当,2021/1/1 6:00,-1,71,东风,1,0,20210101 060000
贵州>贵阳>开阳,2021/1/1 6:00,-3,68,西风,1,0,20210101 060000
贵州>贵阳>花溪,2021/1/1 6:00,-1,72,东北风,1,0,20210101 060000
贵州>贵阳>息烽,2021/1/1 6:00,-1,63,西北风,1,0,20210101 060000
贵州>贵阳>白云,2021/1/1 6:00,-2,86,东北风,1,0,20210101 060000
贵州>贵阳>清镇,2021/1/1 6:00,-2,86,东北风,1,0,20210101 060000
贵州>贵阳>修文,2021/1/1 7:00,-2,77,西风,1,0,20210101 070000
贵州>贵阳>开阳,2021/1/1 7:00,-3,70,西北风,2,0,20210101 070000
贵州>贵阳>花溪,2021/1/1 7:00,-1,74,东北风,1,0,20210101 070000
贵州>贵阳>清镇,2021/1/1 7:00,-2,86,西北风,1,0,20210101 070000
贵州>贵阳>白云,2021/1/1 7:00,-2,86,西北风,1,0,20210101 070000
贵州>贵阳>乌当,2021/1/1 7:00,-1,73,东北风,1,0,20210101 070000
贵州>贵阳>息烽,2021/1/1 7:00,-1,68,北风,0,0,20210101 070000
贵州>贵阳>息烽,2021/1/1 8:00,-1,73,北风,1,0,20210101 080000
贵州>贵阳>白云,2021/1/1 8:00,-2,84,西北风,1,0,20210101 080000
贵州>贵阳>开阳,2021/1/1 8:00,-3,71,西北风,1,0,20210101 080000
贵州>贵阳>修文,2021/1/1 8:00,-2,73,西风,2,0,20210101 080000
贵州>贵阳>花溪,2021/1/1 8:00,-1,74,东北风,1,0,20210101 080000
贵州>贵阳>乌当,2021/1/1 8:00,0,72,南风,1,0,20210101 080000
贵州>贵阳>清镇,2021/1/1 8:00,-2,84,西北风,1,0,20210101 080000
贵州>贵阳>白云,2021/1/1 9:00,-1,80,西北风,1,0,20210101 090000
贵州>贵阳>开阳,2021/1/1 9:00,-3,72,西北风,1,0,20210101 090000
贵州>贵阳>乌当,2021/1/1 9:00,0,71,东南风,1,0,20210101 090000
贵州>贵阳>花溪,2021/1/1 9:00,0,74,东北风,1,0,20210101 090000
贵州>贵阳>息烽,2021/1/1 9:00,-1,65,西风,1,0,20210101 090000
贵州>贵阳>修文,2021/1/1 9:00,-2,72,西风,1,0,20210101 090000
贵州>贵阳>清镇,2021/1/1 9:00,-1,80,西北风,1,0,20210101 090000
贵州>贵阳>修文,2021/1/1 10:00,-1,68,西风,1,0,20210101 100000
贵州>贵阳>开阳,2021/1/1 10:00,0,59,北风,1,0,20210101 100000
贵州>贵阳>花溪,2021/1/1 10:00,1,73,北风,1,0,20210101 100000
贵州>贵阳>清镇,2021/1/1 10:00,-1,75,西北风,1,0,20210101 100000
贵州>贵阳>白云,2021/1/1 10:00,-1,75,西北风,1,0,20210101 100000
贵州>贵阳>乌当,2021/1/1 10:00,1,69,东南风,1,0,20210101 100000
贵州>贵阳>息烽,2021/1/1 10:00,2,55,东南风,1,0,20210101 100000
贵州>贵阳>息烽,2021/1/1 11:00,3,50,西北风,1,0,20210101 110000
贵州>贵阳>修文,2021/1/1 11:00,1,66,西南风,1,0,20210101 110000
贵州>贵阳>开阳,2021/1/1 11:00,2,55,北风,2,0,20210101 110000
