aqi	so2	no2	co	o3	pm10	pm2_5	pubtime
55	16	15	0.5	57	59	33	2021/1/1 1:00
57	17	15	0.6	52	63	35	2021/1/1 4:00
55	16	15	0.5	57	59	33	2021/1/1 5:00
64	17	17	0.7	45	77	41	2021/1/1 6:00
63	18	20	0.7	40	76	44	2021/1/1 7:00
66	21	26	0.8	32	81	47	2021/1/1 8:00
74	24	30	0.9	28	87	54	2021/1/1 9:00
77	28	31	0.9	27	92	56	2021/1/1 10:00
75	32	30	0.9	31	94	55	2021/1/1 11:00
67	31	28	0.8	34	84	48	2021/1/1 12:00
62	29	28	0.8	40	74	40	2021/1/1 13:00
58	30	28	0.8	47	65	37	2021/1/1 14:00
58	28	29	0.8	52	66	36	2021/1/1 15:00
57	29	33	0.8	52	63	32	2021/1/1 16:00
57	31	40	0.9	48	63	36	2021/1/1 17:00
63	36	48	0.9	39	76	40	2021/1/1 18:00
68	43	60	1	24	85	47	2021/1/1 19:00
73	44	66	1.1	16	95	53	2021/1/1 20:00
80	55	67	1.2	13	105	59	2021/1/1 21:00
83	60	63	1.3	13	107	61	2021/1/1 22:00
84	49	60	1.2	14	111	62	2021/1/1 23:00
83	40	49	1	25	108	61	2021/1/2 0:00
78	34	39	0.9	36	94	57	2021/1/2 1:00
73	30	29	0.7	47	87	53	2021/1/2 2:00
69	28	29	0.7	47	81	50	2021/1/2 3:00
65	27	28	0.7	46	77	47	2021/1/2 4:00
63	27	30	0.7	43	72	45	2021/1/2 5:00
62	30	34	0.7	37	71	44	2021/1/2 6:00
64	34	35	0.8	36	75	46	2021/1/2 7:00
65	28	38	0.7	33	77	47	2021/1/2 8:00
61	29	40	0.7	34	71	43	2021/1/2 9:00
62	30	42	0.7	36	73	42	2021/1/2 10:00
64	31	41	0.7	41	77	42	2021/1/2 11:00
64	28	33	0.6	52	78	40	2021/1/2 12:00
62	26	28	0.7	60	73	35	2021/1/2 13:00
62	24	27	0.6	61	73	34	2021/1/2 14:00
59	21	26	0.6	62	67	32	2021/1/2 15:00
57	24	32	0.7	58	64	32	2021/1/2 16:00
61	24	34	0.7	53	72	36	2021/1/2 17:00
65	27	38	0.7	47	79	39	2021/1/2 18:00
68	28	40	0.8	43	85	41	2021/1/2 19:00
68	28	38	0.7	43	86	44	2021/1/2 20:00
63	20	27	0.6	54	76	39	2021/1/2 21:00
59	16	24	0.6	57	68	34	2021/1/2 22:00
59	11	26	0.6	50	67	31	2021/1/2 23:00
54	9	20	0.7	52	57	38	2021/1/3 0:00
55	9	18	0.7	52	53	39	2021/1/3 1:00
None	None	None	None	None	None	None	2021/1/3 2:00
55	8	17	0.7	47	50	39	2021/1/3 3:00
55	8	17	0.8	43	54	39	2021/1/3 4:00
58	8	15	0.8	40	63	41	2021/1/3 5:00
60	9	15	0.8	37	52	43	2021/1/3 6:00
64	9	18	0.8	32	55	46	2021/1/3 7:00
65	9	22	0.9	27	60	47	2021/1/3 8:00
65	10	27	0.9	22	56	47	2021/1/3 9:00
65	12	30	0.9	20	57	47	2021/1/3 10:00
67	15	33	1	19	61	48	2021/1/3 11:00
70	17	31	0.9	22	62	51	2021/1/3 12:00
69	19	28	0.9	24	64	50	2021/1/3 13:00
70	17	25	0.9	26	64	51	2021/1/3 14:00
67	15	25	0.9	25	58	48	2021/1/3 15:00
70	14	28	0.9	21	62	51	2021/1/3 16:00
73	12	28	0.9	21	64	53	2021/1/3 17:00
78	14	28	0.9	24	74	57	2021/1/3 18:00
78	15	28	0.8	27	74	57	2021/1/3 19:00
77	15	28	0.8	27	70	56	2021/1/3 20:00
72	17	29	0.9	23	68	52	2021/1/3 21:00
73	18	32	0.9	21	68	53	2021/1/3 22:00
75	17	28	0.8	24	73	55	2021/1/3 23:00
74	15	25	0.8	27	80	54	2021/1/4 0:00
73	14	22	0.8	29	79	53	2021/1/4 1:00
74	12	19	0.8	33	80	54	2021/1/4 2:00
69	10	16	0.7	36	68	50	2021/1/4 3:00
64	9	17	0.8	33	61	46	2021/1/4 4:00
64	10	17	0.8	31	61	46	2021/1/4 5:00
64	10	18	0.8	28	57	46	2021/1/4 6:00
63	10	21	0.8	25	58	45	2021/1/4 7:00
67	11	27	0.8	18	60	48	2021/1/4 8:00
69	13	33	0.9	14	65	50	2021/1/4 9:00
79	15	36	1	14	75	58	2021/1/4 10:00
87	17	34	0.9	17	84	64	2021/1/4 11:00
89	19	36	1	19	90	66	2021/1/4 12:00
93	22	38	1	21	92	69	2021/1/4 13:00
95	23	41	1	22	98	71	2021/1/4 14:00
98	22	39	1	22	102	73	2021/1/4 15:00
97	22	39	1	23	103	72	2021/1/4 16:00
97	22	38	0.9	25	103	72	2021/1/4 17:00
99	21	41	0.9	23	105	74	2021/1/4 18:00
98	22	42	0.9	22	107	73	2021/1/4 19:00
97	22	40	0.9	24	103	72	2021/1/4 20:00
94	21	43	1	20	99	70	2021/1/4 21:00
98	19	40	0.9	23	93	73	2021/1/4 22:00
92	15	33	0.9	26	87	68	2021/1/4 23:00
82	13	26	0.9	30	74	60	2021/1/5 0:00
75	10	22	0.8	35	64	55	2021/1/5 1:00
69	9	19	0.7	37	60	50	2021/1/5 2:00
57	9	19	0.7	37	50	40	2021/1/5 3:00
53	8	18	0.7	37	41	37	2021/1/5 4:00
42	8	17	0.7	37	34	29	2021/1/5 5:00
None	None	None	None	None	None	None	2021/1/5 6:00
28	7	17	0.7	41	25	19	2021/1/5 7:00
25	8	23	0.7	37	22	17	2021/1/5 8:00
23	8	24	0.7	37	23	16	2021/1/5 9:00
None	None	None	None	None	None	None	2021/1/5 10:00
30	11	29	0.8	32	30	20	2021/1/5 11:00
30	11	29	0.8	32	30	20	2021/1/5 12:00
33	12	27	0.8	34	33	19	2021/1/5 13:00
34	12	24	0.8	36	34	20	2021/1/5 14:00
32	12	25	0.8	40	30	22	2021/1/5 15:00
34	12	23	0.7	42	34	21	2021/1/5 16:00
32	10	24	0.7	39	32	21	2021/1/5 17:00
32	10	24	0.7	41	32	20	2021/1/5 18:00
31	10	23	0.7	39	31	18	2021/1/5 19:00
31	11	23	0.7	38	31	20	2021/1/5 20:00
29	11	24	0.7	36	29	20	2021/1/5 21:00
30	10	25	0.7	33	30	19	2021/1/5 22:00
29	10	19	0.6	40	27	20	2021/1/5 23:00
23	9	17	0.6	42	23	15	2021/1/6 0:00
25	8	16	0.6	41	23	17	2021/1/6 1:00
25	8	14	0.6	44	25	17	2021/1/6 2:00
29	8	13	0.6	50	26	20	2021/1/6 3:00
32	8	12	0.6	61	30	22	2021/1/6 4:00
42	7	11	0.6	70	38	29	2021/1/6 5:00
52	7	11	0.6	74	44	36	2021/1/6 6:00
50	8	12	0.6	72	42	35	2021/1/6 7:00
50	8	17	0.6	69	41	35	2021/1/6 8:00
50	8	19	0.6	66	44	35	2021/1/6 9:00
50	10	24	0.7	60	43	35	2021/1/6 10:00
52	11	25	0.7	57	46	36	2021/1/6 11:00
54	12	28	0.7	52	50	38	2021/1/6 12:00
59	11	28	0.7	50	52	42	2021/1/6 13:00
60	12	24	0.8	50	57	43	2021/1/6 14:00
60	12	25	0.8	53	52	43	2021/1/6 15:00
57	12	27	0.8	48	51	40	2021/1/6 16:00
58	11	27	0.8	46	53	41	2021/1/6 17:00
54	11	28	0.8	46	52	38	2021/1/6 18:00
55	11	27	0.8	47	52	39	2021/1/6 19:00
55	10	25	0.8	49	47	39	2021/1/6 20:00
48	10	23	0.8	50	42	33	2021/1/6 21:00
43	10	22	0.8	52	37	30	2021/1/6 22:00
39	10	19	0.8	57	35	27	2021/1/6 23:00
39	9	16	0.8	64	32	27	2021/1/7 0:00
42	8	15	0.8	66	35	29	2021/1/7 1:00
40	8	13	0.8	71	35	28	2021/1/7 2:00
46	8	12	0.8	73	40	32	2021/1/7 3:00
48	7	12	0.8	72	40	33	2021/1/7 4:00
40	7	11	0.7	74	36	28	2021/1/7 5:00
35	8	11	0.7	76	30	24	2021/1/7 6:00
30	7	12	0.6	75	29	21	2021/1/7 7:00
30	8	15	0.7	69	27	21	2021/1/7 8:00
28	9	17	0.7	66	24	19	2021/1/7 9:00
20	10	19	0.7	64	20	14	2021/1/7 10:00
22	12	18	0.7	62	20	15	2021/1/7 11:00
22	13	18	0.7	60	22	14	2021/1/7 12:00
24	15	17	0.7	59	24	15	2021/1/7 13:00
23	13	17	0.7	57	23	12	2021/1/7 14:00
23	12	17	0.7	53	23	15	2021/1/7 16:00
24	11	17	0.7	50	24	16	2021/1/7 17:00
26	11	18	0.7	49	26	17	2021/1/7 18:00
23	10	18	0.7	49	23	15	2021/1/7 19:00
23	10	16	0.7	51	23	16	2021/1/7 20:00
25	9	14	0.7	53	23	17	2021/1/7 21:00
25	10	13	0.7	52	25	16	2021/1/7 22:00
25	10	12	0.8	50	23	17	2021/1/7 23:00
25	9	12	0.8	48	23	17	2021/1/8 0:00
25	9	11	0.8	49	22	17	2021/1/8 1:00
23	8	9	0.8	51	23	16	2021/1/8 2:00
22	8	9	0.8	50	19	15	2021/1/8 3:00
20	8	9	0.8	49	20	13	2021/1/8 4:00
19	7	8	0.8	51	17	13	2021/1/8 5:00
