province, city, city_code, aqi, quality, level, pollutions, so2_24h, no2_24h, co_24h, o3_8h_24h, pm10_24h, pm2_5_24h, pubtime
贵州省,贵阳市,520100,43.0,优,None,—,13.0,19.0,0.7,54.0,43.0,28.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,63.0,良,None,细颗粒物(PM2.5),17.0,22.0,0.9,50.0,67.0,45.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,48.0,优,None,—,14.0,19.0,1.0,16.0,48.0,32.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,45.0,优,None,—,14.0,22.0,1.1,17.0,45.0,30.0,2020-01-04 00:00:00
贵州省,贵阳市,520100,29.0,优,None,—,12.0,15.0,0.5,57.0,24.0,13.0,2020-01-05 00:00:00
贵州省,贵阳市,520100,27.0,优,None,—,10.0,15.0,0.5,53.0,23.0,14.0,2020-01-06 00:00:00
贵州省,贵阳市,520100,52.0,良,None,颗粒物(PM10),20.0,29.0,0.8,66.0,53.0,31.0,2020-01-07 00:00:00
贵州省,贵阳市,520100,52.0,良,None,颗粒物(PM10),15.0,23.0,0.7,64.0,53.0,29.0,2020-01-08 00:00:00
贵州省,贵阳市,520100,46.0,优,None,—,12.0,18.0,1.1,25.0,46.0,29.0,2020-01-09 00:00:00
贵州省,贵阳市,520100,28.0,优,None,—,10.0,18.0,1.1,33.0,21.0,12.0,2020-01-10 00:00:00
贵州省,贵阳市,520100,32.0,优,None,—,14.0,16.0,1.0,48.0,32.0,21.0,2020-01-11 00:00:00
贵州省,贵阳市,520100,59.0,良,None,细颗粒物(PM2.5),21.0,28.0,0.9,67.0,63.0,42.0,2020-01-12 00:00:00
贵州省,贵阳市,520100,52.0,良,None,颗粒物(PM10),14.0,27.0,0.9,40.0,53.0,35.0,2020-01-13 00:00:00
贵州省,贵阳市,520100,23.0,优,None,—,8.0,17.0,0.8,42.0,22.0,16.0,2020-01-14 00:00:00
贵州省,贵阳市,520100,23.0,优,None,—,9.0,17.0,0.9,28.0,17.0,12.0,2020-01-15 00:00:00
贵州省,贵阳市,520100,36.0,优,None,—,15.0,19.0,0.9,36.0,36.0,24.0,2020-01-16 00:00:00
贵州省,贵阳市,520100,36.0,优,None,—,12.0,13.0,0.8,57.0,36.0,25.0,2020-01-17 00:00:00
贵州省,贵阳市,520100,65.0,良,None,细颗粒物(PM2.5),15.0,18.0,0.8,52.0,60.0,47.0,2020-01-18 00:00:00
贵州省,贵阳市,520100,70.0,良,None,细颗粒物(PM2.5),24.0,24.0,0.9,47.0,69.0,51.0,2020-01-19 00:00:00
贵州省,贵阳市,520100,33.0,优,None,—,12.0,21.0,0.9,45.0,32.0,23.0,2020-01-20 00:00:00
贵州省,贵阳市,520100,30.0,优,None,—,12.0,16.0,0.7,60.0,30.0,20.0,2020-01-21 00:00:00
贵州省,贵阳市,520100,45.0,优,None,—,14.0,13.0,0.8,48.0,45.0,31.0,2020-01-22 00:00:00
贵州省,贵阳市,520100,26.0,优,None,—,12.0,9.0,0.8,39.0,26.0,16.0,2020-01-23 00:00:00
贵州省,贵阳市,520100,25.0,优,None,—,11.0,8.0,0.7,49.0,20.0,13.0,2020-01-24 00:00:00
贵州省,贵阳市,520100,25.0,优,None,—,11.0,11.0,0.7,50.0,23.0,17.0,2020-01-25 00:00:00
贵州省,贵阳市,520100,43.0,优,None,—,13.0,9.0,0.7,55.0,38.0,30.0,2020-01-26 00:00:00
贵州省,贵阳市,520100,38.0,优,None,—,10.0,7.0,0.7,63.0,32.0,26.0,2020-01-27 00:00:00
贵州省,贵阳市,520100,40.0,优,None,—,14.0,7.0,0.6,58.0,34.0,28.0,2020-01-28 00:00:00
贵州省,贵阳市,520100,45.0,优,None,—,20.0,9.0,0.6,81.0,39.0,31.0,2020-01-29 00:00:00
贵州省,贵阳市,520100,45.0,优,None,—,23.0,14.0,0.7,76.0,42.0,31.0,2020-01-30 00:00:00
贵州省,贵阳市,520100,50.0,优,None,—,21.0,12.0,0.6,89.0,47.0,35.0,2020-01-31 00:00:00
贵州省,贵阳市,520100,88.0,良,None,细颗粒物(PM2.5),16.0,15.0,0.8,87.0,81.0,65.0,2020-02-01 00:00:00
贵州省,贵阳市,520100,42.0,优,None,—,12.0,10.0,0.7,40.0,35.0,29.0,2020-02-02 00:00:00
贵州省,贵阳市,520100,29.0,优,None,—,10.0,6.0,0.6,58.0,19.0,13.0,2020-02-03 00:00:00
贵州省,贵阳市,520100,43.0,优,None,—,16.0,10.0,0.7,69.0,39.0,30.0,2020-02-04 00:00:00
贵州省,贵阳市,520100,50.0,优,None,—,13.0,10.0,0.7,52.0,45.0,35.0,2020-02-05 00:00:00
贵州省,贵阳市,520100,27.0,优,None,—,11.0,7.0,0.7,53.0,17.0,11.0,2020-02-06 00:00:00
贵州省,贵阳市,520100,28.0,优,None,—,11.0,7.0,0.7,55.0,26.0,18.0,2020-02-07 00:00:00
贵州省,贵阳市,520100,27.0,优,None,—,11.0,6.0,0.7,51.0,27.0,18.0,2020-02-08 00:00:00
贵州省,贵阳市,520100,41.0,优,None,—,14.0,7.0,0.6,81.0,27.0,19.0,2020-02-09 00:00:00
贵州省,贵阳市,520100,34.0,优,None,—,13.0,8.0,0.6,59.0,34.0,23.0,2020-02-10 00:00:00
贵州省,贵阳市,520100,29.0,优,None,—,14.0,12.0,0.8,22.0,27.0,20.0,2020-02-11 00:00:00
贵州省,贵阳市,520100,45.0,优,None,—,20.0,14.0,0.8,56.0,43.0,31.0,2020-02-12 00:00:00
贵州省,贵阳市,520100,48.0,优,None,—,25.0,17.0,0.8,83.0,46.0,33.0,2020-02-13 00:00:00
贵州省,贵阳市,520100,50.0,优,None,—,19.0,16.0,0.7,93.0,48.0,35.0,2020-02-14 00:00:00
贵州省,贵阳市,520100,31.0,优,None,—,8.0,6.0,0.6,62.0,28.0,19.0,2020-02-15 00:00:00
贵州省,贵阳市,520100,36.0,优,None,—,11.0,4.0,0.4,71.0,28.0,16.0,2020-02-16 00:00:00
贵州省,贵阳市,520100,37.0,优,None,—,13.0,8.0,0.5,72.0,37.0,22.0,2020-02-17 00:00:00
贵州省,贵阳市,520100,39.0,优,None,—,16.0,10.0,0.5,76.0,39.0,24.0,2020-02-18 00:00:00
贵州省,贵阳市,520100,63.0,良,None,细颗粒物(PM2.5),22.0,16.0,0.7,96.0,62.0,45.0,2020-02-19 00:00:00
