 aqi, level, so2, no2, co, o3, pm10, pm2_5
44,1,13,17,0.7,65,44,26
78,2,23,31,0.9,72,81,57
32,1,6,15,0.5,64,31,19
23,1,11,17,0.9,29,17,9
63,2,10,20,0.7,109,70,45
42,1,6,19,0.6,58,42,27
113,3,9,28,0.8,174,50,26
40,1,6,14,0.6,80,33,20
33,1,6,18,0.6,65,32,19
137,3,16,89,1.6,26,112,104
58,2,6,23,0.6,109,37,18
36,1,8,19,0.7,30,36,20
72,2,8,14,0.7,126,80,47
88,2,8,18,0.8,117,110,65
108,3,13,47,1,15,112,81
26,1,10,12,0.6,51,19,12
113,3,70,62,1.5,77,158,85
26,1,13,15,0.7,52,22,15
48,1,10,17,0.7,77,48,28
101,3,9,21,1,161,61,32
49,1,12,13,0.6,62,45,34
122,3,5,22,0.8,184,42,23
48,1,10,20,0.7,66,42,33
35,1,16,17,0.7,54,35,24
119,3,10,57,1,16,119,90
50,1,9,19,0.8,79,50,29
52,2,16,22,0.8,53,53,33
30,1,6,10,0.4,60,22,7
53,2,17,28,1,38,56,33
99,2,28,43,1,75,111,74
34,1,6,12,0.7,67,16,6
39,1,5,12,0.5,77,28,13
31,1,13,19,0.8,40,31,19
41,1,8,25,0.6,53,41,22
26,1,6,13,0.6,37,26,14
100,2,8,42,0.6,159,54,22
37,1,5,15,0.5,73,25,12
148,3,13,67,1.1,28,158,113
32,1,6,15,0.5,63,23,11
35,1,5,11,0.4,70,31,13
45,1,5,22,0.5,90,34,16
37,1,14,24,0.8,33,37,24
66,2,30,35,0.8,48,81,46
77,2,30,21,0.7,80,79,56
38,1,6,18,0.6,64,38,22
41,1,5,15,0.5,81,24,11
110,3,11,49,1.3,96,96,83
140,3,11,30,0.7,204,51,27
31,1,13,19,0.8,40,31,19
70,2,37,41,0.9,89,89,44
43,1,15,23,0.9,52,43,29
25,1,5,14,0.5,30,25,13
51,2,21,18,0.6,64,51,29
32,1,9,24,0.9,10,32,18
34,1,6,10,0.4,67,23,8
55,2,10,29,0.6,105,47,20
88,2,8,18,0.8,117,110,65
44,1,13,17,0.7,65,44,26
59,2,7,15,0.7,110,58,32
30,1,5,20,0.6,60,16,8
85,2,7,30,0.6,142,52,21
130,3,8,24,0.9,192,81,52
54,2,6,20,0.5,104,30,11
72,2,20,28,0.9,81,77,52
103,3,5,12,0.7,163,31,17
44,1,6,11,0.5,88,31,14
49,1,18,24,0.9,42,49,31
120,3,6,18,0.8,181,34,17
59,2,7,14,0.6,110,37,21
24,1,11,19,0.7,37,23,12
32,1,6,15,0.5,64,31,19
52,2,23,22,0.6,86,54,32
80,2,15,33,1,30,74,59
38,1,15,21,0.8,48,38,25
109,3,10,50,0.9,45,111,82
32,1,10,9,0.5,61,31,22
31,1,9,13,0.4,62,28,12
32,1,8,15,0.9,18,32,18
22,1,10,17,0.6,25,21,12
43,1,5,18,0.6,86,38,18
32,1,6,15,0.5,63,23,11
114,3,24,38,0.8,111,177,53
60,2,21,29,0.8,70,70,43
99,2,28,43,1,75,111,74
120,3,14,59,1,19,131,91
70,2,8,18,0.6,124,40,23
36,1,6,12,0.4,71,24,9
130,3,7,29,1.1,193,105,56
47,1,8,14,0.6,86,47,31
59,2,7,15,0.7,110,58,32
33,1,6,22,0.7,62,33,18
88,2,6,24,0.6,145,54,26
133,3,13,45,0.8,196,71,41
25,1,7,20,0.7,26,16,9
30,1,10,21,0.8,59,23,12
114,3,24,38,0.8,111,177,53
33,1,6,22,0.7,62,33,18
35,1,10,15,0.8,46,35,23
