province,city,city_code,aqi,quality,level,pollutions,so2,no2,co,o3,pm10,pm2_5,pubtime
贵州省,贵阳市,520100,None,—,0,—,None,None,None,None,None,None,2021-01-01 00:00:00
贵州省,贵阳市,520100,55.0,良,2,颗粒物(PM10),16.0,15.0,0.5,57.0,59.0,33.0,2021-01-01 01:00:00
贵州省,贵阳市,520100,None,—,0,—,None,None,None,None,None,None,2021-01-01 03:00:00
贵州省,贵阳市,520100,57.0,良,2,颗粒物(PM10),17.0,15.0,0.6,52.0,63.0,35.0,2021-01-01 04:00:00
贵州省,贵阳市,520100,55.0,良,2,颗粒物(PM10),16.0,15.0,0.5,57.0,59.0,33.0,2021-01-01 05:00:00
贵州省,贵阳市,520100,64.0,良,2,颗粒物(PM10),17.0,17.0,0.7,45.0,77.0,41.0,2021-01-01 06:00:00
贵州省,贵阳市,520100,63.0,良,2,颗粒物(PM10),18.0,20.0,0.7,40.0,76.0,44.0,2021-01-01 07:00:00
贵州省,贵阳市,520100,66.0,良,2,颗粒物(PM10),21.0,26.0,0.8,32.0,81.0,47.0,2021-01-01 08:00:00
贵州省,贵阳市,520100,74.0,良,2,细颗粒物(PM2.5),24.0,30.0,0.9,28.0,87.0,54.0,2021-01-01 09:00:00
贵州省,贵阳市,520100,77.0,良,2,细颗粒物(PM2.5),28.0,31.0,0.9,27.0,92.0,56.0,2021-01-01 10:00:00
贵州省,贵阳市,520100,75.0,良,2,细颗粒物(PM2.5),32.0,30.0,0.9,31.0,94.0,55.0,2021-01-01 11:00:00
贵州省,贵阳市,520100,67.0,良,2,"颗粒物(PM10),细颗粒物(PM2.5)",31.0,28.0,0.8,34.0,84.0,48.0,2021-01-01 12:00:00
贵州省,贵阳市,520100,62.0,良,2,颗粒物(PM10),29.0,28.0,0.8,40.0,74.0,40.0,2021-01-01 13:00:00
贵州省,贵阳市,520100,58.0,良,2,颗粒物(PM10),30.0,28.0,0.8,47.0,65.0,37.0,2021-01-01 14:00:00
贵州省,贵阳市,520100,58.0,良,2,颗粒物(PM10),28.0,29.0,0.8,52.0,66.0,36.0,2021-01-01 15:00:00
贵州省,贵阳市,520100,57.0,良,2,颗粒物(PM10),29.0,33.0,0.8,52.0,63.0,32.0,2021-01-01 16:00:00
贵州省,贵阳市,520100,57.0,良,2,颗粒物(PM10),31.0,40.0,0.9,48.0,63.0,36.0,2021-01-01 17:00:00
贵州省,贵阳市,520100,63.0,良,2,颗粒物(PM10),36.0,48.0,0.9,39.0,76.0,40.0,2021-01-01 18:00:00
贵州省,贵阳市,520100,68.0,良,2,颗粒物(PM10),43.0,60.0,1.0,24.0,85.0,47.0,2021-01-01 19:00:00
贵州省,贵阳市,520100,73.0,良,2,"颗粒物(PM10),细颗粒物(PM2.5)",44.0,66.0,1.1,16.0,95.0,53.0,2021-01-01 20:00:00
贵州省,贵阳市,520100,80.0,良,2,细颗粒物(PM2.5),55.0,67.0,1.2,13.0,105.0,59.0,2021-01-01 21:00:00
贵州省,贵阳市,520100,83.0,良,2,细颗粒物(PM2.5),60.0,63.0,1.3,13.0,107.0,61.0,2021-01-01 22:00:00
贵州省,贵阳市,520100,84.0,良,2,细颗粒物(PM2.5),49.0,60.0,1.2,14.0,111.0,62.0,2021-01-01 23:00:00
贵州省,贵阳市,520100,83.0,良,2,细颗粒物(PM2.5),40.0,49.0,1.0,25.0,108.0,61.0,2021-01-02 00:00:00
贵州省,贵阳市,520100,78.0,良,2,细颗粒物(PM2.5),34.0,39.0,0.9,36.0,94.0,57.0,2021-01-02 01:00:00
贵州省,贵阳市,520100,73.0,良,2,细颗粒物(PM2.5),30.0,29.0,0.7,47.0,87.0,53.0,2021-01-02 02:00:00
贵州省,贵阳市,520100,69.0,良,2,细颗粒物(PM2.5),28.0,29.0,0.7,47.0,81.0,50.0,2021-01-02 03:00:00
贵州省,贵阳市,520100,65.0,良,2,细颗粒物(PM2.5),27.0,28.0,0.7,46.0,77.0,47.0,2021-01-02 04:00:00
贵州省,贵阳市,520100,63.0,良,2,细颗粒物(PM2.5),27.0,30.0,0.7,43.0,72.0,45.0,2021-01-02 05:00:00
贵州省,贵阳市,520100,62.0,良,2,细颗粒物(PM2.5),30.0,34.0,0.7,37.0,71.0,44.0,2021-01-02 06:00:00
贵州省,贵阳市,520100,64.0,良,2,细颗粒物(PM2.5),34.0,35.0,0.8,36.0,75.0,46.0,2021-01-02 07:00:00
贵州省,贵阳市,520100,65.0,良,2,细颗粒物(PM2.5),28.0,38.0,0.7,33.0,77.0,47.0,2021-01-02 08:00:00
贵州省,贵阳市,520100,61.0,良,2,颗粒物(PM10),29.0,40.0,0.7,34.0,71.0,43.0,2021-01-02 09:00:00
贵州省,贵阳市,520100,62.0,良,2,颗粒物(PM10),30.0,42.0,0.7,36.0,73.0,42.0,2021-01-02 10:00:00
贵州省,贵阳市,520100,64.0,良,2,颗粒物(PM10),31.0,41.0,0.7,41.0,77.0,42.0,2021-01-02 11:00:00
贵州省,贵阳市,520100,64.0,良,2,颗粒物(PM10),28.0,33.0,0.6,52.0,78.0,40.0,2021-01-02 12:00:00
