province,city,city_code,station,station_code,aqi,so2_24h,no2_24h,co_24h,o3_8h_24h,o3_24h,pm10_24h,pm2_5_24h,pubtime
贵州省,贵阳市,520100,太慈桥,1447A,None,20.0,13.0,0.6,57.0,64.0,51.0,27.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,市环保站,1440A,None,10.0,30.0,0.6,45.0,51.0,52.0,32.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,新华路,1446A,None,18.0,22.0,0.7,51.0,60.0,47.0,28.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,桐木岭,1552A,None,4.0,2.0,0.6,77.0,81.0,39.0,29.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,燕子冲,1442A,None,11.0,18.0,0.7,56.0,63.0,46.0,37.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,碧云窝,1443A,None,7.0,12.0,0.6,61.0,67.0,32.0,23.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,红边门,1445A,None,11.0,30.0,0.7,41.0,50.0,47.0,31.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,鉴湖路,1441A,None,10.0,17.0,0.5,61.0,69.0,39.0,19.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,马鞍山,1439A,None,9.0,13.0,0.8,60.0,64.0,35.0,23.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,中院村,1444A,None,21.0,20.0,0.7,55.0,64.0,39.0,31.0,2020-01-01 00:00:00
贵州省,贵阳市,520100,太慈桥,1447A,None,19.0,19.0,0.9,55.0,84.0,70.0,38.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,市环保站,1440A,None,17.0,28.0,0.9,45.0,73.0,73.0,49.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,新华路,1446A,None,15.0,23.0,0.9,48.0,81.0,68.0,43.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,桐木岭,1552A,None,7.0,3.0,0.6,76.0,82.0,53.0,39.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,燕子冲,1442A,None,12.0,18.0,0.9,47.0,84.0,65.0,54.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,碧云窝,1443A,None,15.0,21.0,0.8,65.0,79.0,49.0,36.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,红边门,1445A,None,15.0,23.0,0.9,41.0,72.0,62.0,44.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,鉴湖路,1441A,None,18.0,24.0,0.9,42.0,83.0,94.0,54.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,马鞍山,1439A,None,13.0,16.0,1.1,51.0,87.0,59.0,43.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,中院村,1444A,None,28.0,26.0,1.0,54.0,77.0,61.0,47.0,2020-01-02 00:00:00
贵州省,贵阳市,520100,太慈桥,1447A,None,16.0,19.0,1.0,13.0,15.0,57.0,31.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,市环保站,1440A,None,12.0,21.0,0.9,16.0,19.0,50.0,33.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,新华路,1446A,None,15.0,17.0,1.0,17.0,19.0,45.0,26.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,桐木岭,1552A,None,11.0,11.0,1.1,20.0,22.0,44.0,34.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,燕子冲,1442A,None,9.0,15.0,1.0,21.0,27.0,39.0,33.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,碧云窝,1443A,None,19.0,23.0,0.9,15.0,19.0,48.0,31.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,红边门,1445A,None,11.0,18.0,0.9,14.0,17.0,42.0,29.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,鉴湖路,1441A,None,14.0,20.0,0.9,13.0,15.0,64.0,37.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,马鞍山,1439A,None,10.0,15.0,1.2,18.0,24.0,44.0,32.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,中院村,1444A,None,21.0,22.0,1.1,14.0,16.0,43.0,34.0,2020-01-03 00:00:00
贵州省,贵阳市,520100,太慈桥,1447A,None,18.0,20.0,1.2,12.0,26.0,62.0,32.0,2020-01-04 00:00:00
贵州省,贵阳市,520100,市环保站,1440A,None,13.0,27.0,1.2,17.0,20.0,56.0,37.0,2020-01-04 00:00:00
贵州省,贵阳市,520100,新华路,1446A,None,12.0,23.0,1.2,17.0,20.0,51.0,29.0,2020-01-04 00:00:00
贵州省,贵阳市,520100,桐木岭,1552A,None,5.0,6.0,0.8,50.0,63.0,22.0,17.0,2020-01-04 00:00:00
贵州省,贵阳市,520100,燕子冲,1442A,None,8.0,19.0,1.0,17.0,23.0,43.0,35.0,2020-01-04 00:00:00
