aqi,so2,no2,co,o3,pm10,pm2_5,temp,humi,w_dir,wind,rain
55,16,15,0.5,57,59,33,0,55,45,2,0
57,17,15,0.6,52,63,35,0,63,45,1,0
55,16,15,0.5,57,59,33,-1,70,45,2,0
64,17,17,0.7,45,77,41,-1,72,45,1,0
63,18,20,0.7,40,76,44,-1,74,45,1,0
66,21,26,0.8,32,81,47,-1,74,45,1,0
74,24,30,0.9,28,87,54,0,74,45,1,0
77,28,31,0.9,27,92,56,1,73,0,1,0
75,32,30,0.9,31,94,55,2,68,270,1,0
67,31,28,0.8,34,84,48,3,61,0,2,0
62,29,28,0.8,40,74,40,5,57,270,1,0
58,30,28,0.8,47,65,37,6,52,225,1,0
58,28,29,0.8,52,66,36,7,48,0,1,0
57,29,33,0.8,52,63,32,7,49,45,2,0
57,31,40,0.9,48,63,36,7,51,125,1,0
63,36,48,0.9,39,76,40,6,54,0,1,0
68,43,60,1,24,85,47,6,56,45,2,0
73,44,66,1.1,16,95,53,6,58,0,1,0
80,55,67,1.2,13,105,59,6,57,0,2,0
83,60,63,1.3,13,107,61,5,59,0,1,0
84,49,60,1.2,14,111,62,5,60,0,0,0
83,40,49,1,25,108,61,5,61,0,1,0
78,34,39,0.9,36,94,57,5,63,0,0,0
73,30,29,0.7,47,87,53,5,64,0,0,0
69,28,29,0.7,47,81,50,5,65,0,0,0
65,27,28,0.7,46,77,47,5,65,125,1,0
63,27,30,0.7,43,72,45,5,64,0,0,0
62,30,34,0.7,37,71,44,5,67,180,1,0
64,34,35,0.8,36,75,46,5,67,125,1,0
65,28,38,0.7,33,77,47,5,60,180,2,0
61,29,40,0.7,34,71,43,5,59,180,2,0
62,30,42,0.7,36,73,42,5,56,180,2,0
64,31,41,0.7,41,77,42,6,55,180,2,0
64,28,33,0.6,52,78,40,6,56,125,2,0
62,26,28,0.7,60,73,35,7,61,180,2,0
62,24,27,0.6,61,73,34,7,62,180,3,0
59,21,26,0.6,62,67,32,7,61,180,3,0
57,24,32,0.7,58,64,32,8,62,180,3,0
61,24,34,0.7,53,72,36,7,64,125,2,0
65,27,38,0.7,47,79,39,7,66,180,2,0
68,28,40,0.8,43,85,41,7,67,125,2,0
68,28,38,0.7,43,86,44,7,68,125,2,0
63,20,27,0.6,54,76,39,6,75,90,1,0
