 aqi, level, so2, no2, co, o3, pm10, pm2_5
31,1,9,13,0.4,62,28,12
148,3,23,31,2.1,46,121,113
88,2,8,18,0.8,117,110,65
49,1,12,13,0.6,62,45,34
106,3,3,19,0.8,166,75,40
82,2,9,21,1,138,53,47
82,2,16,41,1,138,65,28
25,1,9,19,0.6,24,25,15
55,2,7,21,0.5,106,42,19
91,2,3,10,0.5,149,27,14
45,1,5,22,0.5,90,34,16
59,2,14,23,0.9,47,55,42
37,1,5,15,0.5,73,25,12
59,2,9,22,0.8,87,67,34
110,3,3,16,0.6,171,40,21
135,3,9,25,1.5,198,64,55
96,2,10,29,0.9,155,114,68
54,2,2,12,0.4,104,19,5
84,2,2,16,0.6,140,42,24
90,2,7,34,0.7,148,63,45
80,2,3,19,0.5,136,28,11
103,3,24,36,0.8,57,107,77
66,2,2,11,0.7,119,32,17
38,1,17,15,0.5,75,32,18
38,1,6,12,0.4,76,29,12
46,1,5,13,0.5,91,27,10
121,3,8,28,1.2,183,66,56
51,2,4,13,0.4,73,51,22
75,2,3,19,0.3,121,99,27
36,1,6,17,0.5,72,26,12
95,2,36,49,1.3,60,101,71
49,1,20,17,0.6,60,49,30
32,1,10,9,0.5,61,31,22
46,1,3,28,0.5,78,46,19
70,2,37,41,0.9,89,89,44
88,2,6,24,0.6,145,54,26
51,2,21,18,0.6,64,51,29
73,2,4,37,0.8,40,66,53
63,2,15,22,0.8,66,64,45
28,1,8,17,0.7,48,28,16
25,1,7,20,0.7,26,16,9
83,2,9,28,0.8,139,92,50
65,2,7,24,0.6,117,42,24
139,3,4,53,1.3,39,105,106
44,1,13,17,0.7,65,44,26
58,2,22,31,0.7,71,66,33
84,2,4,25,0.5,80,117,35
38,1,5,18,0.6,76,35,17
94,2,3,13,0.7,152,35,20
45,1,15,23,0.9,46,43,31
36,1,10,15,0.7,72,27,20
61,2,4,26,0.4,56,71,19
61,2,5,15,0.7,113,54,32
36,1,6,13,0.5,72,30,12
113,3,11,39,1.7,68,87,85
60,2,7,18,0.6,109,69,33
