 aqi, level, so2, no2, co, o3, pm10, pm2_5
59,2,9,22,0.8,87,67,34
80,2,10,42,0.9,27,80,59
32,1,6,16,0.7,63,23,12
98,2,10,34,0.7,157,44,25
25,1,5,15,0.5,50,20,6
29,1,9,13,0.6,58,17,8
98,2,29,41,1,33,108,73
58,2,7,26,0.6,102,65,31
53,2,5,13,0.6,103,30,16
39,1,6,13,0.6,77,20,8
85,2,10,48,0.9,89,89,63
39,1,5,16,0.4,77,27,12
39,1,5,13,0.4,77,26,9
20,1,9,15,0.7,27,20,10
65,2,7,19,0.6,118,22,13
54,2,16,13,0.7,84,49,38
53,2,8,16,0.7,49,56,32
78,2,8,34,0.6,133,56,28
90,2,6,20,0.6,147,43,22
26,1,12,14,0.6,41,26,17
60,2,8,28,0.5,44,69,29
124,3,10,21,0.6,186,42,25
112,3,9,45,0.9,66,115,84
127,3,13,22,0.5,71,203,46
55,2,10,21,0.5,105,33,17
51,2,8,36,0.8,70,52,31
84,2,11,52,1,116,88,62
44,1,14,19,0.8,87,44,28
104,3,9,28,0.7,164,40,21
25,1,11,14,0.6,49,14,10
57,2,8,22,0.7,108,38,21
37,1,14,24,0.8,33,37,24
65,2,10,25,0.7,118,44,26
75,2,8,15,0.7,129,75,46
95,2,9,43,1,67,92,71
112,3,11,48,0.9,30,119,84
103,3,24,36,0.8,57,107,77
45,1,5,18,0.6,89,19,9
29,1,9,23,0.7,38,27,12
61,2,5,15,0.7,113,54,32
75,2,16,40,0.6,130,60,26
63,2,8,15,0.7,115,66,40
50,1,6,17,0.6,100,38,23
60,2,9,32,0.8,102,65,43
32,1,9,24,0.9,10,32,18
37,1,5,19,0.5,73,23,11
57,2,9,24,0.7,108,26,14
88,2,9,36,0.8,145,64,38
29,1,6,10,0.3,57,23,6
54,2,8,39,1,40,50,38
38,1,5,18,0.6,76,35,17
38,1,6,12,0.4,76,29,12
113,3,70,62,1.5,77,158,85
33,1,6,22,0.7,37,33,17
32,1,6,13,0.5,64,29,13
100,2,8,23,0.6,160,29,17
29,1,5,11,0.5,56,29,13
60,2,9,44,1.1,43,63,43
83,2,16,31,0.9,30,83,61
59,2,14,23,0.9,47,55,42
38,1,6,18,0.6,64,38,22
35,1,10,15,0.8,46,35,23
53,2,11,35,0.7,96,56,36
59,2,7,14,0.6,110,37,21
26,1,13,15,0.7,52,22,15
35,1,10,22,0.7,40,33,24
55,2,8,34,0.7,32,55,39
150,3,11,32,0.8,215,55,31
48,1,5,21,0.5,96,37,17
62,2,8,17,0.7,105,67,44
95,2,11,40,0.9,13,95,71
41,1,8,25,0.6,53,41,22
91,2,11,35,0.7,149,45,25
45,1,6,22,0.6,89,40,18
28,1,5,10,0.4,55,13,4
53,2,9,42,1,42,56,37
51,2,15,24,0.9,47,52,34
28,1,7,17,0.7,46,28,15
44,1,6,17,0.5,87,28,12
112,3,56,61,1.4,96,141,84
66,2,9,25,0.7,119,28,16
74,2,10,44,0.8,128,65,40
50,1,9,19,0.8,79,50,29
69,2,10,42,0.9,42,73,50
112,3,17,37,0.8,173,78,48
25,1,5,17,0.6,50,21,11
59,2,7,15,0.7,110,58,32
85,2,7,30,0.6,142,52,21
58,2,6,23,0.6,109,37,18
53,2,17,17,0.5,60,55,33
41,1,5,15,0.5,81,24,11
63,2,9,42,0.7,79,68,45
28,1,5,22,0.6,51,24,11
56,2,9,41,0.8,69,61,36
36,1,6,17,0.5,72,26,12
55,2,5,14,0.4,105,32,16
97,2,11,42,0.7,156,62,34
75,2,9,46,1,24,78,55
55,2,8,21,0.6,49,49,39
43,1,15,23,0.9,52,43,29
23,1,8,11,0.5,46,19,12
59,2,10,20,0.6,99,67,42
48,1,6,28,0.6,85,48,23
35,1,6,13,0.4,69,29,11
46,1,16,23,0.9,29,46,29
77,2,17,29,0.9,58,79,56
67,2,13,25,0.9,41,62,48
83,2,9,28,0.8,139,92,50
24,1,11,19,0.7,37,23,12
56,2,15,22,0.7,80,61,36
56,2,7,23,0.5,61,62,32
22,1,9,15,0.8,28,22,11
33,1,6,18,0.6,65,32,19
31,1,6,13,0.5,56,31,14
59,2,8,24,0.7,110,33,19
64,2,11,27,0.7,116,44,26
26,1,9,13,0.7,52,24,14
25,1,5,14,0.5,30,25,13
63,2,26,32,0.7,56,75,41
30,1,6,11,0.4,60,24,10
32,1,6,13,0.5,64,20,6
33,1,6,22,0.7,62,33,18
26,1,10,12,0.6,51,19,12
55,2,8,24,0.6,105,35,20
36,1,5,11,0.4,72,31,13
69,2,10,33,0.6,122,55,28
74,2,8,30,0.7,47,68,54
45,1,15,23,0.9,46,43,31
38,1,15,21,0.8,48,38,25
80,2,6,19,0.5,136,46,22
64,2,8,41,1,18,62,46
38,1,12,16,0.7,62,38,25
63,2,8,37,0.7,35,63,45
59,2,9,26,0.6,81,67,33
65,2,14,29,0.6,117,54,36
45,1,14,22,0.9,37,43,31
64,2,12,47,0.8,71,69,46
65,2,7,24,0.6,117,42,24
36,1,6,12,0.4,71,24,9
27,1,5,16,0.5,53,27,13
119,3,10,57,1,16,119,90
64,2,6,21,0.5,116,46,25
35,1,14,24,0.9,21,35,18
56,2,7,21,0.6,107,23,13
55,2,9,38,0.9,88,60,38
60,2,10,44,0.8,112,68,31
42,1,6,19,0.6,58,42,27
77,2,9,23,0.7,132,44,26
26,1,8,18,0.6,47,26,14
48,1,6,16,0.5,95,36,17
109,3,10,50,0.9,45,111,82
80,2,15,33,1,30,74,59
89,2,33,38,1,62,98,66
80,2,13,60,0.8,56,106,59
28,1,5,10,0.4,56,28,12
27,1,5,14,0.4,54,26,10
19,1,5,14,0.5,38,17,6
67,2,10,48,0.9,104,70,48
51,2,9,38,0.9,65,52,32
27,1,5,16,0.4,53,19,6
54,2,6,12,0.5,104,26,11
114,3,24,38,0.8,111,177,53
29,1,6,11,0.4,57,18,5
43,1,5,18,0.6,86,38,18
39,1,5,12,0.5,77,28,13
54,2,10,39,0.8,49,57,35
42,1,12,23,0.8,27,42,24
103,3,10,42,0.8,23,99,77
56,2,8,21,0.6,107,26,15
99,2,9,44,1,42,96,74
90,2,10,38,0.8,148,62,36
80,2,9,29,0.7,135,36,19
36,1,8,19,0.7,30,36,20
31,1,9,13,0.4,62,28,12
74,2,5,14,0.5,128,44,22
61,2,6,26,0.6,113,54,26
131,3,10,32,0.7,194,46,23
36,1,10,15,0.7,72,27,20
103,3,14,67,1,68,125,77
77,2,9,39,0.7,52,79,56
58,2,8,23,0.6,109,31,17
57,2,16,15,0.7,44,52,40
28,1,5,12,0.5,55,23,7
65,2,35,37,0.8,71,80,42
25,1,9,19,0.6,24,25,15
65,2,8,23,0.5,118,29,14
78,2,23,31,0.9,72,81,57
23,1,11,17,0.9,29,17,9
33,1,6,11,0.4,66,32,16
53,2,9,42,0.8,61,49,29
87,2,11,37,0.8,144,46,25
49,1,6,20,0.6,97,36,17
53,2,10,39,0.8,64,56,35
67,2,6,31,0.6,120,73,39
55,2,8,23,0.6,105,35,19
30,1,6,15,0.4,60,25,9
32,1,5,17,0.5,63,29,13
37,1,5,15,0.5,73,25,12
40,1,6,20,0.5,80,37,15
67,2,9,49,0.9,28,76,48
90,2,14,28,0.8,99,129,52
66,2,8,21,0.6,119,22,13
70,2,9,25,0.6,123,33,17
132,3,16,73,1,62,152,100
33,1,6,22,0.6,66,33,19
85,2,9,52,0.9,33,95,63
89,2,10,33,0.7,146,49,29
43,1,5,15,0.5,86,22,9
49,1,20,17,0.6,60,49,30
86,2,8,21,0.6,143,48,26
