 aqi, level, so2, no2, co, o3, pm10, pm2_5
148,3,6,26,1,212,66,32
40,1,7,29,0.9,72,40,20
62,2,8,27,0.5,107,73,28
56,2,8,23,1,107,60,36
56,2,9,40,1,54,62,27
76,2,7,24,0.8,131,34,18
93,2,5,26,0.7,151,48,27
68,2,8,44,0.8,70,81,49
138,3,10,70,1.5,33,119,105
54,2,11,43,1,54,53,28
54,2,13,36,1.2,44,57,27
129,3,8,53,1,96,112,98
65,2,7,34,0.9,108,75,47
95,2,13,44,0.9,153,65,23
65,2,13,52,0.8,94,66,30
103,3,6,20,1.1,163,77,43
70,2,14,46,0.8,61,89,41
68,2,7,31,0.4,99,85,27
73,2,11,46,0.7,127,63,25
59,2,6,27,0.4,110,62,17
57,2,5,31,0.7,68,63,39
140,3,8,32,0.5,76,230,37
75,2,7,27,0.7,129,26,13
58,2,4,21,0.3,72,66,10
37,1,6,28,0.5,60,37,14
129,3,6,30,0.6,70,208,40
122,3,6,63,1.1,51,87,92
98,2,5,23,0.9,157,57,34
58,2,8,43,0.9,48,62,41
119,3,8,20,1.5,180,70,37
64,2,10,45,0.7,61,77,31
79,2,8,31,0.6,134,45,19
108,3,7,24,1.1,168,64,34
97,2,11,48,0.9,142,110,72
55,2,6,28,0.5,106,29,10
82,2,7,33,0.7,138,49,20
30,1,7,19,0.5,52,30,12
104,3,8,37,0.9,61,157,53
118,3,11,26,0.8,179,65,31
110,3,14,63,1.5,50,96,83
42,1,5,21,0.6,84,19,16
126,3,8,21,0.8,188,82,46
42,1,6,13,0.7,83,5,3
94,2,5,31,0.4,89,137,24
84,2,12,67,1,41,73,58
43,1,5,19,0.4,86,35,8
105,3,8,24,0.8,165,60,34
98,2,10,39,0.8,157,57,29
79,2,12,51,0.8,113,94,58
98,2,10,50,1.6,30,105,73
130,3,7,51,1.2,39,116,99
61,2,12,44,0.8,62,71,35
40,1,6,14,0.5,79,24,13
85,2,7,20,1.1,141,28,17
109,3,9,46,0.9,102,99,82
61,2,9,33,1.2,113,65,37
70,2,6,22,0.4,99,89,30
93,2,8,48,1.2,55,97,69
72,2,8,22,1.1,58,60,52
77,2,14,61,0.9,35,87,34
63,2,8,47,0.9,64,74,45
105,3,8,51,1.1,48,88,79
82,2,8,40,0.4,138,50,15
